symbol,div,paymentDate
BANX,0.45,2024-09-30
BSVN,0.24,2024-10-09
FITBI,0.59432,2024-09-30
FITBP,0.375,2024-09-30
FITBO,0.30938,2024-09-30
ITRN,0.39,2024-10-09
OFLX,0.34,2024-10-08
PSEC,0.06,2024-10-22
EVI,0.31,2024-10-07
GE,0.28,2024-10-25
SRE,0.62,2024-10-15
NAT,0.12,2024-11-26
GTY,0.45,2024-10-10
WFG,0.32,2024-10-11
BBW,0.2,2024-10-10
PM,1.35,2024-10-10
INVH,0.28,2024-10-18
MEGI,0.125,2024-09-30
ISBA,0.28,2024-09-30
BZQIY,0.108319,2024-10-25
RANJY,0.529152,2024-10-16
THNUY,0.288249,2024-10-15
