symbol,close,divPer,div
3245,884.0,5.32,47.028800000000004
2410,1831.0,4.92,90.0852
166,617.0,4.86,29.986200000000004
6677,2413.0,4.85,117.03049999999999
8958,100500.0,4.83,4854.15
6189,725.0,4.83,35.0175
8986,100500.0,4.78,4803.9
7030,820.0,4.63,37.966
7148,2312.0,4.58,105.88960000000002
4172,1925.0,4.57,87.9725
3918,1011.0,4.45,44.9895
2485,453.0,4.42,20.0226
7505,2009.0,4.38,87.9942
9446,476.0,4.2,19.992
8952,582000.0,4.16,24211.2
4928,5370.0,4.1,220.16999999999996
8151,1665.0,4.02,66.93299999999999
9562,1260.0,3.97,50.022
9248,1787.0,3.92,70.0504
9233,1124.0,3.91,43.9484
231,1024.0,3.91,40.0384
7800,629.0,3.82,24.0278
3636,4195.0,3.81,159.8295
9795,1956.0,3.78,73.93679999999999
2498,4700.0,3.72,174.84
6877,4035.0,3.72,150.102
3668,549.0,3.64,19.983600000000003
4809,1771.0,3.61,63.933099999999996
2185,1232.0,3.57,43.9824
2961,3715.0,3.5,130.025
7539,1267.0,3.47,43.96490000000001
7819,576.0,3.47,19.9872
6554,725.0,3.45,25.0125
5533,1706.0,3.4,58.004
6316,2511.0,3.39,85.12290000000002
4769,948.0,3.38,32.0424
4554,1282.0,3.32,42.5624
2304,909.0,3.3,29.997
4320,476.0,3.15,14.993999999999998
3495,1529.0,3.14,48.010600000000004
2122,977.0,3.07,29.9939
6087,3325.0,3.07,102.0775
3176,1516.0,2.97,45.025200000000005
3288,5598.0,2.97,166.2606
8944,205.0,2.93,6.0065
6284,4825.0,2.9,139.925
3992,317.0,2.84,9.0028
7839,2239.0,2.81,62.9159
9869,4275.0,2.81,120.1275
7792,1099.0,2.73,30.0027
9699,4150.0,2.72,112.88
1795,4060.0,2.71,110.02600000000001
4243,742.0,2.7,20.034000000000002
5921,3820.0,2.62,100.084
4421,928.0,2.59,24.0352
7361,2028.0,2.56,51.9168
7446,3705.0,2.56,94.84800000000001
2874,944.0,2.54,23.977600000000002
9470,999.0,2.5,24.975
1743,1407.0,2.49,35.0343
6233,411.0,2.43,9.9873
6194,864.0,2.43,20.9952
4931,1852.0,2.43,45.003600000000006
5036,1033.0,2.42,24.9986
6277,4135.0,2.42,100.067
9746,3770.0,2.39,90.10300000000001
3187,419.0,2.39,10.014100000000001
4754,1259.0,2.38,29.9642
3254,1879.0,2.34,43.968599999999995
2974,988.0,2.33,23.0204
4346,870.0,2.3,20.009999999999998
3712,4355.0,2.3,100.165
4124,1526.0,2.29,34.9454
4958,3115.0,2.25,70.0875
6965,3447.0,2.2,75.834
3323,74.0,2.16,1.5984
1771,825.0,2.06,16.995
3359,389.0,2.06,8.0134
3698,738.0,2.03,14.981399999999999
9823,4295.0,2.03,87.18849999999999
3965,810.0,1.98,16.038
8789,76.0,1.97,1.4972
9376,512.0,1.95,9.984
9476,514.0,1.95,10.023
6466,2342.0,1.92,44.96639999999999
6196,4550.0,1.87,85.085
6080,2157.0,1.85,39.904500000000006
7643,1419.0,1.83,25.9677
7066,887.0,1.78,15.7886
6200,1099.0,1.77,19.4523
3989,850.0,1.76,14.96
3723,1141.0,1.75,19.9675
8798,1006.0,1.74,17.5044
6050,1787.0,1.73,30.9151
7760,716.0,1.68,12.028799999999999
4447,616.0,1.62,9.9792
7681,3115.0,1.61,50.151500000000006
3264,187.0,1.6,2.992
1789,507.0,1.58,8.0106
2917,958.0,1.57,15.040600000000001
7711,2066.0,1.55,32.023
9170,1950.0,1.54,30.03
1438,2045.0,1.47,30.061500000000002
4751,1035.5,1.45,15.01475
5259,764.0,1.43,10.9252
6551,699.0,1.43,9.9957
3461,420.0,1.43,6.006
9438,1128.0,1.42,16.0176
1446,579.0,1.38,7.9902
3900,1313.0,1.37,17.988100000000003
3920,588.0,1.36,7.9968
7386,2958.0,1.35,39.933
6338,3000.0,1.33,39.9
9564,935.0,1.28,11.968
9679,4800.0,1.25,60.0
3690,610.0,1.25,7.625
3939,545.0,1.19,6.485499999999999
3494,411.0,1.17,4.808699999999999
9249,4570.0,1.14,52.09799999999999
3769,9125.0,1.13,103.11249999999998
5843,839.0,1.07,8.9773
3328,2528.0,1.07,27.0496
3710,650.0,0.92,5.98
5724,918.0,0.87,7.986599999999999
3687,1662.0,0.84,13.960799999999999
7076,864.0,0.83,7.1712
6191,1215.0,0.82,9.963
3563,2787.5,0.81,22.57875
6095,572.0,0.79,4.5188
5570,637.0,0.78,4.9686
4071,2211.0,0.72,15.919199999999998
4051,7620.0,0.68,51.816
7806,1552.0,0.64,9.9328
4055,1952.0,0.49,9.5648
2120,144.0,0.41,0.5904
3496,6110.0,0.41,25.051
2652,424.0,0.24,1.0175999999999998
7071,1904.0,0.21,3.9983999999999997
