,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,SPY,71.87189999999875,1.8132183502371197,11.38102633697779,26.020590225350734,238.22910431362715,1.967390691507116
1,IVV,65.04496999999986,2.4004299699351894,16.901797047119146,32.7011225645763,208.7487154701413,3.3215685362940137
2,VIG,26.966229999999648,2.591494653844475,9.117221965299795,12.884805869556297,71.1191068094814,4.428513809094893
3,XLK,121.82771999999953,1.1955249589924586,14.837632066916807,24.61421977807067,500.5312125581216,2.0863125065069275
4,IEF,14.386280000000697,2.317552900139867,5.197604884807485,8.837945596086666,35.3135714229831,2.179698458499238
5,SMH,327.9918200000003,0.6400207257580612,45.584602150093225,75.7441191626527,2534.6917068340977,2.1080856806922683
6,JEPQ,70.07475999999909,1.885108727738387,11.419035521085398,13.561912180368044,230.32367396663926,2.2799193485781784
7,EFG,42.450270000000515,2.098507203568021,19.55596060421887,56.13886057073394,216.7945072370367,2.6316163289142347
8,SOXX,460.7448799999989,0.8085856473270979,106.55730980748979,150.7556385537227,4738.624976858351,2.4756097304164792
9,LLY,183.77342000000016,0.8994968057910393,25.833824462103777,38.55113995701552,945.1686081466461,2.2007727532626853
10,NFLX,140.70848999999995,0.8156612811382996,12.814349258225176,19.167943225954843,621.6982780901124,1.8342781450260635
11,CRM,141.04757999999995,1.087388517964967,18.04945080869676,27.45323725853127,623.9877958212351,2.0501405228268834
12,LIN,44.821239999999875,2.0218195107845887,11.78114893751987,24.256655962582844,130.07667309165933,3.540246738841847
13,QCOM,324.85398999999995,0.7879535097646448,48.72827803269847,72.65105624203949,2491.42907948012,2.001588731151611
14,WFC,166.6378400000009,1.0065084845332333,22.527523885784202,32.65610050730842,808.4980733288443,2.28487601813736
15,TXN,123.07467000000028,1.3835561636614742,16.05998602173917,34.756821286774446,508.1533217182929,2.342217593095752
16,UBER,426.41888000000057,0.8725123832387688,127.01905963338645,221.01990566489584,4097.549032245824,3.124719947525397
17,ETN,175.23715000000027,1.3709750174108892,24.13688125417252,37.53434922207216,875.7551844043029,2.6297194174813545
18,BSX,65.13380000000014,1.7439569287684846,14.168775142827648,20.937399045942996,209.1227322777014,2.6658135817399318
19,ADP,57.98274999999965,1.3080449750009837,8.985122947521699,18.594321786157163,179.8154922412175,3.0292416579046697
20,DE,94.91161999999939,1.4533453468648219,15.59776821204277,35.02986189483357,348.8847951613296,2.5261499486573675
21,PANW,209.12704999999923,0.8980422356602202,23.000992951100322,30.475881122900947,1167.092356815659,2.330243550052561
22,FI,44.37769999999969,1.5867377591075538,7.80781470700839,12.864257614020723,128.49424588957206,2.370873182494196
23,MU,1673.2121699999955,0.5870596826519329,1146.1887977572944,2688.3185062163207,64422.55885604938,3.3160448960568205
24,TT,123.80986000000036,1.5462595626211588,64.77658795821144,142.24870957823632,1281.1198658923481,3.536145388660706
25,PNC,64.74965000000012,1.7790457383064544,12.604221218129654,16.358775103534946,207.50708500599728,3.103990822975256
26,ECL,42.440800000000046,1.8980229306052099,12.502265502257675,24.109041954057822,216.72587840984144,3.6254774962085277
27,APD,99.07211000000098,1.7292965879108175,50.54851668421188,113.16626279998292,842.8738688598182,4.604031804354783
28,RSG,31.963750000000086,2.0015738008458084,12.503568639674684,16.74821502995314,146.91819585396263,3.3638142109771247
29,SLB,249.7454400000014,1.1098859375433756,43.281781351535486,66.16819124154752,1572.7927475032707,2.44340333028938
30,ADSK,118.07475000000038,1.8826946105326592,30.484395715636957,50.9713924345285,477.9125321980133,3.3968872093954334
31,PSX,108.99469000000126,1.2216269199808916,13.22574558007451,16.355992111574402,425.17532994443917,1.8446469991649452
32,DASH,375.8355199999984,1.136458137664928,101.30232821636413,142.0450966037098,3244.0897942300116,4.0800709245008875
33,MNST,128.06107999999946,1.48276041078313,23.000885260376613,27.169871502674344,539.1681818276403,2.7196967441777575
34,AIG,101.28153999999894,1.6167645342702548,16.86547832486066,22.79745106532514,382.56840013825234,2.855697825995541
35,TEL,62.27898000000097,1.7966292382622706,18.019640799331437,35.14508582453072,384.42853476984294,2.610890180580487
36,HSY,99.9688699999995,1.9499274494686025,20.995752130307146,18.18320765007685,375.51627212827225,2.6474223935867514
37,DDOG,183.80672000000027,0.9606372234533237,20.388640586168002,24.429418452906795,945.4445853730439,2.2205830937173596
38,CTSH,64.31941999999975,1.9431653797349426,15.343106259672558,21.975261194649857,205.7032177200035,2.969250261823595
39,CCEP,45.381459999999905,2.2645049479125268,10.151252318971078,11.427417723597964,132.08405741370194,2.3711699106682684
40,HIG,66.47187000000058,2.039623887196783,27.308626662668534,53.49616056913461,426.4220187669889,4.5538972959339405
41,DFS,136.83369000000062,1.5909375292190253,31.620759753696195,55.14580546412837,595.8214836497721,5.004320271637376
42,VMC,116.24626000000052,1.433380141698019,53.29604811610222,89.75494373298075,1134.7344882806738,2.8672425952971863
43,XYL,99.70963000000114,1.6154674204121513,17.46969154519296,17.33042688837977,374.13036052985484,3.0098217725923826
44,EL,163.57522999999975,0.8152134799481295,14.301996375508445,26.440663615126482,785.1876312018043,1.6802221941438584
45,ON,438.63328000000206,0.9168950554062707,93.67821282376403,201.95219406949693,4319.871694145555,3.3095322672973078
46,STT,79.63979000000047,1.6955079749513313,24.892923143915073,53.13381591909209,574.6518288821753,3.0118870107894793
47,FSLR,1016.2691800000015,0.32814604628103267,301.45814010234164,627.5549750268866,22676.13885085109,2.3598896984456577
48,CCL,725.0620000000013,0.7205167681873819,271.03495844332934,438.8250566401542,11437.051113595457,3.654898745452854
