,symbol,returns,sharpe,sortino,calmar,returns_ann,profitFactor
0,CCEP,54.55129999999985,0.2496517009749088,43753.59945191627,99603.00029618958,2145174.214478548,3.554190978420985
1,CVC,52.25338400000028,0.4030894955267256,61732.00442820444,73210.1481533993,1521999.1666932967,5.019529797570286
2,NN,24.88481000000006,1.2214458595379485,583.6373326030401,2106.728661720808,16153.526347221865,5.483754489710866
3,CTPNV,25.41645999999999,0.4989436710681293,723.2080173491419,2623.50454646667,17814.845112658204,6.42319513204477
5,TWEKA,44.73578000000008,0.1665246053528461,6729.186874681739,19725.674406861424,477042.4177346672,12.564527757233249
